,,,,,,,,,,,
Number,Description,Department,Lvl,Primary,Alternate,Total,Enrollment Max,Section Count,,,
MMUCC10--L,CHORAL MUSIC: CONCERT CHOIR 10 Linear,Music,Regular,6,0,6,50,0,,,
,,,,,,,,,,,
MMUJB10--L,INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,Music,Regular,10,0,10,100,0,,,
,,,,,,,,,,,
MMUOR10S-L,INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,Music,Regular,14,0,14,100,0,,,
,,,,,,,,,,,
MMUOR11S-L,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,Music,Regular,4,0,4,100,0,,,
,,,,,,,,,,,
MMUOR12S-L,INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,Music,Regular,10,0,10,100,0,,,
,,,,,,,,,,,
MODED11---,OUTDOOR EDUCATION 11,Physical Education,Regular,12,4,16,29,0,,,
,,,,,,,,,,,
MODED12---,OUTDOOR EDUCATION 12,Physical Education,Regular,9,4,13,29,0,,,
,,,,,,,,,,,
MPGEO12---,PHYSICAL GEOGRAPHY 12,Social Studies,Regular,27,6,33,24,1,,,
,,,,,,,,,,,
MPH--11---,PHYSICS 11,Science,Regular,137,15,152,23,6,,,
,,,,,,,,,,,
MPH--12---,PHYSICS 12,Science,Regular,79,8,87,23,3,,,
,,,,,,,,,,,
MPHE-09---,PHYSICAL AND HEALTH EDUCATION 9,Physical Education,Regular,21,0,21,29,1,,,
,,,,,,,,,,,
MPHE-09--L,PHYSICAL AND HEALTH EDUCATION 9 Linear,Physical Education,Regular,45,0,45,32,1,,,
,,,,,,,,,,,
MPHE-09B--,PHYSICAL AND HEALTH EDUCATION 9 Boys,Physical Education,Regular,48,0,48,29,2,,,
,,,,,,,,,,,
MPHE-09G--,PHYSICAL AND HEALTH EDUCATION 9 Girls,Physical Education,Regular,53,0,53,29,2,,,
,,,,,,,,,,,
MPHE-09Y--,PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,Physical Education,Regular,11,10,21,29,0,,,
,,,,,,,,,,,
MPHED10---,PHYSICAL AND HEALTH EDUCATION 10,Physical Education,Regular,25,0,25,29,1,,,
,,,,,,,,,,,
MPHED10--L,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,Physical Education,Regular,36,0,36,29,1,,,
,,,,,,,,,,,
